id,user_id,message,delivered
143,143,Emergency drill at 3 PM,False
144,144,Maintenance in Lecture Hall A,False
145,145,Room change for CS101,True
146,146,Gym closed for cleaning,True
147,147,New cafeteria menu available,True
148,148,Gym closed for cleaning,True
149,149,Emergency drill at 3 PM,True
150,150,New cafeteria menu available,False
151,151,Gym closed for cleaning,True
152,152,Library closed for renovation,True
153,153,Room change for CS101,False
154,154,Gym closed for cleaning,False
155,155,New cafeteria menu available,False
156,156,Library closed for renovation,False
157,157,Gym closed for cleaning,False
158,158,Maintenance in Lecture Hall A,False
159,159,Maintenance in Lecture Hall A,True
160,160,Emergency drill at 3 PM,False
161,161,New cafeteria menu available,False
162,162,Maintenance in Lecture Hall A,True
163,163,Gym closed for cleaning,True
164,164,Gym closed for cleaning,True
165,165,Gym closed for cleaning,True
166,166,Room change for CS101,False
167,167,Library closed for renovation,True
168,168,Library closed for renovation,False
169,169,Maintenance in Lecture Hall A,True
170,170,Emergency drill at 3 PM,True
171,171,New cafeteria menu available,True
172,172,Library closed for renovation,True
173,173,Room change for CS101,False
174,174,Maintenance in Lecture Hall A,True
175,175,Maintenance in Lecture Hall A,True
176,176,Gym closed for cleaning,True
177,177,New cafeteria menu available,False
178,178,Room change for CS101,False
179,179,Room change for CS101,True
180,180,Emergency drill at 3 PM,False
181,181,Emergency drill at 3 PM,True
182,182,Library closed for renovation,True
183,183,Gym closed for cleaning,True
184,184,Emergency drill at 3 PM,False
185,185,Emergency drill at 3 PM,False
186,186,New cafeteria menu available,False
187,187,Emergency drill at 3 PM,False
188,188,Library closed for renovation,True
189,189,Maintenance in Lecture Hall A,True
190,190,Room change for CS101,True
191,191,New cafeteria menu available,True
192,192,Emergency drill at 3 PM,True
193,193,Room change for CS101,True
194,194,New cafeteria menu available,False
195,195,Maintenance in Lecture Hall A,True
196,196,Gym closed for cleaning,True
197,197,Library closed for renovation,False
198,198,Maintenance in Lecture Hall A,True
199,199,Library closed for renovation,False
200,200,Room change for CS101,True
201,1,Notification 1,False
202,2,Notification 1,False
203,3,Notification 1,False
204,4,Notification 1,True
205,5,Notification 1,False
206,6,Notification 1,True
207,7,Notification 1,False
208,8,Notification 1,True
209,9,Notification 1,False
210,10,Notification 1,False
211,11,Notification 1,False
212,12,Notification 1,True
213,13,Notification 1,False
214,14,Notification 1,False
215,15,Notification 1,False
216,16,Notification 1,False
217,17,Notification 1,False
218,18,Notification 1,False
219,19,Notification 1,False
220,20,Notification 1,False
221,21,Notification 1,False
222,22,Notification 1,False
223,23,Notification 1,False
224,24,Notification 1,False
225,25,Notification 1,False
226,26,Notification 1,False
227,27,Notification 1,False
228,28,Notification 1,False
229,29,Notification 1,False
230,30,Notification 1,False
231,31,Notification 1,False
232,32,Notification 1,False
233,33,Notification 1,False
234,34,Notification 1,False
235,35,Notification 1,False
236,36,Notification 1,False
237,37,Notification 1,False
238,38,Notification 1,False
239,39,Notification 1,False
240,40,Notification 1,False
241,41,Notification 1,False
242,42,Notification 1,False
243,43,Notification 1,False
244,44,Notification 1,False
245,45,Notification 1,False
246,46,Notification 1,False
247,47,Notification 1,False
248,48,Notification 1,False
249,49,Notification 1,False
250,50,Notification 1,False
251,51,Notification 1,False
252,52,Notification 1,False
253,53,Notification 1,False
254,54,Notification 1,False
255,55,Notification 1,False
256,56,Notification 1,False
257,57,Notification 1,False
258,58,Notification 1,False
259,59,Notification 1,False
260,60,Notification 1,False
261,61,Notification 1,False
262,62,Notification 1,False
263,63,Notification 1,False
264,64,Notification 1,False
265,65,Notification 1,False
266,66,Notification 1,False
267,67,Notification 1,False
268,68,Notification 1,False
269,69,Notification 1,False
270,70,Notification 1,False
271,71,Notification 1,False
272,72,Notification 1,False
273,73,Notification 1,False
274,74,Notification 1,False
275,75,Notification 1,False
276,76,Notification 1,False
277,77,Notification 1,False
278,78,Notification 1,False
279,79,Notification 1,False
280,80,Notification 1,False
281,81,Notification 1,False
282,82,Notification 1,False
283,83,Notification 1,False
284,84,Notification 1,False
285,85,Notification 1,False
286,86,Notification 1,False
287,87,Notification 1,False
288,88,Notification 1,False
289,89,Notification 1,False
290,90,Notification 1,False
291,91,Notification 1,False
292,92,Notification 1,False
293,93,Notification 1,False
294,94,Notification 1,False
295,95,Notification 1,False
296,96,Notification 1,False
297,97,Notification 1,False
298,98,Notification 1,False
299,99,Notification 1,False
300,100,Notification 1,False
301,101,Notification 1,False
302,102,Notification 1,False
303,103,Notification 1,False
304,104,Notification 1,False
305,105,Notification 1,False
306,106,Notification 1,False
307,107,Notification 1,False
308,108,Notification 1,False
309,109,Notification 1,False
310,110,Notification 1,False
311,111,Notification 1,False
312,112,Notification 1,False
313,113,Notification 1,False
314,114,Notification 1,False
315,115,Notification 1,False
316,116,Notification 1,False
317,117,Notification 1,False
318,118,Notification 1,False
319,119,Notification 1,False
320,120,Notification 1,False
321,121,Notification 1,False
322,122,Notification 1,False
323,123,Notification 1,False
324,124,Notification 1,False
325,125,Notification 1,False
326,126,Notification 1,False
327,127,Notification 1,False
328,128,Notification 1,False
329,129,Notification 1,False
330,130,Notification 1,False
331,131,Notification 1,False
332,132,Notification 1,False
333,133,Notification 1,False
334,134,Notification 1,False
335,135,Notification 1,False
336,136,Notification 1,False
337,137,Notification 1,False
338,138,Notification 1,False
339,139,Notification 1,False
340,140,Notification 1,False
342,142,Notification 1,False
343,143,Notification 1,False
344,144,Notification 1,False
345,145,Notification 1,False
346,146,Notification 1,False
347,147,Notification 1,False
348,148,Notification 1,False
349,149,Notification 1,False
350,150,Notification 1,False
351,151,Notification 1,False
352,152,Notification 1,False
353,153,Notification 1,False
354,154,Notification 1,False
355,155,Notification 1,False
356,156,Notification 1,False
357,157,Notification 1,False
358,158,Notification 1,False
359,159,Notification 1,False
360,160,Notification 1,False
